draft,categories,layout,publication,title,subtitle,image,date,blurb,notes,refs,sources,slug,ext,tags,image_desc
false,'_categories/journalism.md',article,_publications/medium.md,Why Protecting Kids from Social Media May Make Things Worse,Media Literacy is Everything Literacy,/uploads/0_kf_bqvrc4hxjnndk.jpg,2023-01-27 05:00:00 +0000,"","[https://rushkoff.medium.com/media-literacy-is-everything-literacy-fe56a807f0d4](https://rushkoff.medium.com/media-literacy-is-everything-literacy-fe56a807f0d4 ""https://rushkoff.medium.com/media-literacy-is-everything-literacy-fe56a807f0d4"")","","",why-protecting-kids-from-social-media-may-make-things-worse,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Magic Is Real,"How the universe winked at me, and why I think it means we will be okay",/uploads/0_wry0hacjmn2ipawt.jpg,2023-02-02 05:00:00 +0000,“Coincidence is the skill of a great storyteller.”,"[https://humanparts.medium.com/magic-is-real-6b7977576705](https://humanparts.medium.com/magic-is-real-6b7977576705 ""https://humanparts.medium.com/magic-is-real-6b7977576705"")","","",magic-is-real,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Why I’m Making People Rewrite their Dissertations,A defense of academic modesty,/uploads/1_szsopbgcoqnwuymtxox6yg.webp,2023-02-09 05:00:00 +0000,"We on the approving committee are not bestowing the emerging scholar with a symbol or a degree, or investing them with an institutional imprimatur. Rather, we are attempting to arm them for future battles in a particularly contentious environment.","[https://rushkoff.medium.com/why-im-making-people-rewrite-their-dissertations-2d3920d82291](https://rushkoff.medium.com/why-im-making-people-rewrite-their-dissertations-2d3920d82291 ""https://rushkoff.medium.com/why-im-making-people-rewrite-their-dissertations-2d3920d82291"")","","",why-i-m-making-people-rewrite-their-dissertations,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,How We Taught Technology to Program Humans,Social media were the Missionaries; AI are the Conquistadors,/uploads/1_onpoavm3lkocmk9dbxgrvq.webp,2023-02-17 05:00:00 +0000,"If Facebook, Amazon, and Google can be thought of as the missionaries who sold us on digital living while collecting our data, then FacebookAI, OpenAI, and DeepMind are the conquistadors coming in for colonization.","[https://rushkoff.medium.com/how-we-taught-technology-to-program-humans-2388adf91364](https://rushkoff.medium.com/how-we-taught-technology-to-program-humans-2388adf91364 ""https://rushkoff.medium.com/how-we-taught-technology-to-program-humans-2388adf91364"")","","",how-we-taught-technology-to-program-humans,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Having Enough Faith to Question,How arguing for open source Judaism led me to see healthy institutions as ones that are open for debate,/uploads/0_idbjz5m7vluub3vs.jpg,2023-02-27 05:00:00 +0000,"","[https://rushkoff.medium.com/having-enough-faith-to-question-9bedd46d8f04](https://rushkoff.medium.com/having-enough-faith-to-question-9bedd46d8f04 ""https://rushkoff.medium.com/having-enough-faith-to-question-9bedd46d8f04"")","","",having-enough-faith-to-question,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Don’t Forget the Covid Miracles,What we should have learned from the Covid experience,/uploads/1_nez9xqqmtmk9fbu8oop91a.webp,2023-03-04 05:00:00 +0000,"Now that we are (hopefully) emerging from the Covid crisis, do we really want to return to business as usual?","[https://rushkoff.medium.com/dont-forget-the-covid-miracles-1776fa21e1c4](https://rushkoff.medium.com/dont-forget-the-covid-miracles-1776fa21e1c4 ""https://rushkoff.medium.com/dont-forget-the-covid-miracles-1776fa21e1c4"")","","",don-t-forget-the-covid-miracles,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,The Day the Dotcom Bust Began,The lesson we still refuse to learn about the ill-fated AOL-TimeWarner Merger,/uploads/1_ssmagisxywgndnqlqnv9vg.webp,2023-03-08 05:00:00 +0000,The only thing peaking about AOL at the turn of the century was its stock price.,"[https://rushkoff.medium.com/the-day-the-dotcom-bust-began-bd0d52c21321](https://rushkoff.medium.com/the-day-the-dotcom-bust-began-bd0d52c21321 ""https://rushkoff.medium.com/the-day-the-dotcom-bust-began-bd0d52c21321"")","","",the-day-the-dotcom-bust-began,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Don’t “Get” People to Do Anything,"Social change is not about changing people, but changing the register",/uploads/0_b5heolrv8fjakpqu.jpg,2023-03-23 04:00:00 +0000,"Are we trying to program people to behave better, or are we creating better conditions for such positive change to take place?","[https://rushkoff.medium.com/dont-get-people-to-do-anything-9d59a1cf29a0](https://rushkoff.medium.com/dont-get-people-to-do-anything-9d59a1cf29a0 ""https://rushkoff.medium.com/dont-get-people-to-do-anything-9d59a1cf29a0"")","","",don-t-get-people-to-do-anything,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,"If it Ain’t Real, Don’t Fix It",How Denaturalizing Power Reveals the Constructed Landscape,/uploads/0_6zuw7u_wynzw6w63.jpg,2023-03-27 04:00:00 +0000,"We must not simply compete or cheat, but rather play “spoilsport” to the accepted game, and reveal it as a human construction.","[https://rushkoff.medium.com/if-it-aint-real-don-t-fix-it-c080b27f82c5](https://rushkoff.medium.com/if-it-aint-real-don-t-fix-it-c080b27f82c5 ""https://rushkoff.medium.com/if-it-aint-real-don-t-fix-it-c080b27f82c5"")","","",if-it-ain-t-real-don-t-fix-it,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Everything is Up for Discussion,Triggering Agency,/uploads/0_goxgd_9lufb5lzjd.jpg,2023-03-31 04:00:00 +0000,"The laws we accept as sacred inviolable truths are not from God at all, but fungible human artifacts we can adapt or discard","[https://rushkoff.medium.com/everything-is-up-for-discussion-94cb071e2950](https://rushkoff.medium.com/everything-is-up-for-discussion-94cb071e2950 ""https://rushkoff.medium.com/everything-is-up-for-discussion-94cb071e2950"")","","",everything-is-up-for-discussion,.md,,
false,,article,_publications/medium.md,Wanna Make Something Together?,"We’re starting a new MA program in Media Arts and Performance, for community-minded artists, media activists, and performers.",/uploads/1_jctu5_0pu3grjbevs858_q.webp,2023-04-08 04:00:00 +0000,"","[https://rushkoff.medium.com/wanna-make-something-together-1616414ae5ff](https://rushkoff.medium.com/wanna-make-something-together-1616414ae5ff ""https://rushkoff.medium.com/wanna-make-something-together-1616414ae5ff"")","","",wanna-make-something-together,.md,,
